state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Alaska (EV: 3),2020-11-11 22:51:34.682000,Trump,Biden,148624,102080,46544,105023,0,0,      0,0,0,441,441,0.7306748485990464,0.0,0.5444,{},260983
Alaska (EV: 3),2020-11-11 13:19:23.895000,Trump,Biden,148624,102080,46544,105023,20749,19943," 19,943",0.469337612194755,0.530662387805245,441,441,0.7306748485990464,0.03299383489059371,0.5444,"{'ED 1': 348, 'ED 11': 1428, 'ED 13': 147, 'ED 14': 156, 'ED 15': 238, 'ED 16': 380, 'ED 17': 449, 'ED 18': 190, 'ED 19': 1546, 'ED 2': 645, 'ED 20': 432, 'ED 21': 10, 'ED 22': 386, 'ED 23': 439, 'ED 24': 480, 'ED 25': 1191, 'ED 28': 453, 'ED 29': 1073, 'ED 30': 29, 'ED 33': 557, 'ED 34': 276, 'ED 4': 1709, 'ED 5': 833, 'ED 6': 2743, 'ED 8': 1735, 'ED 9': 2876}",260983
Alaska (EV: 3),2020-11-11 02:59:01.103000,Trump,Biden,139264,91497,47767,125772,0,0,      0,0,0,441,441,0.6976810137084527,0.0,0.5716333333333333,{},240234
Alaska (EV: 3),2020-11-11 02:51:01.819000,Trump,Biden,139264,91497,47767,125772,49264,47671," 47,671",0.42835266724004106,0.5716473327599589,441,441,0.6976810137084527,0.03532427675745986,0.5716473327599589,{},240234
Alaska (EV: 3),2020-11-09 19:14:19.894000,Trump,Biden,118844,64246,54598,175036,18939,18010," 18,010",0.5892837312604109,0.4107162687395891,441,441,0.6623567369509928,0.024481521399203343,0.36223333333333335,{},190970
Alaska (EV: 3),2020-11-04 18:40:57.265000,Trump,Biden,108231,56849,51382,193975,39556,38323," 38,323",0.7105915507658587,0.2894084492341414,360,441,0.6378752155517895,0.05932911221375348,0.2894084492341414,{},172031
Alaska (EV: 3),2020-11-04 13:28:22.084000,Trump,Biden,80999,45758,35241,233531,0,0,      0,0,0,201,441,0.578546103338036,-0.421453896661964,,{},132475
Alabama (EV: 9),2020-11-11 03:23:42.270000,Trump,Biden,1434159,843473,590686,-56802,0,0,      0,0,0,1970,2069,0,0,0.4486,{},2309900
Alabama (EV: 9),2020-11-06 22:26:37.126000,Trump,Biden,1434159,843473,590686,-56802,12684,12548," 12,548",0.2864201466369143,0.7135798533630857,1969,2069,0,0,0.4486,{'Tuscaloosa': 12684},2309900
Alabama (EV: 9),2020-11-06 18:40:11.567000,Trump,Biden,1430565,834519,596046,-44118,-408,-424,Unknown,-0.0589622641509433,1.0589622641509433,1962,2069,0,0,0.4911333333333333,{},2297216
Alabama (EV: 9),2020-11-04 21:12:19.926000,Trump,Biden,1430540,834968,595572,-44526,153,10,     10,0.30000000000000004,0.7,1961,2069,0,0,0.49446666666666667,"{'Choctaw': 41, 'Etowah': 102, 'Monroe': 10}",2297624
Alabama (EV: 9),2020-11-04 21:00:38.222000,Trump,Biden,1430537,834961,595576,-44373,2948,2938,"  2,938",0.5922396187882913,0.40776038121170866,1961,2069,0,0,0.4945,"{'Jackson': 2635, 'Mobile': 313}",2297471
Alabama (EV: 9),2020-11-04 20:28:27.938000,Trump,Biden,1428797,833763,595034,-41425,67,54,     54,-18.703703703703702,19.703703703703702,1958,2069,0,0,0.5352,{'Marshall': 67},2294523
Alabama (EV: 9),2020-11-04 20:23:38.149000,Trump,Biden,1429807,832699,597108,-41358,14975,13958," 13,958",0.8688923914600946,0.13110760853990544,1958,2069,0,0,0.5012,"{'Clay': 9, 'Mobile': 504, 'Montgomery': 375, 'Tallapoosa': 2805, 'Washington': 9, 'Winston': 11273}",2294456
Alabama (EV: 9),2020-11-04 17:16:47.676000,Trump,Biden,1417679,830869,586810,-26383,49226,48782," 48,782",0.17678651961789182,0.8232134803821082,1937,2069,0,-14.226399624192625,0.8232134803821082,{'Jefferson': 49226},2279481
Alabama (EV: 9),2020-11-04 13:28:22.084000,Trump,Biden,1409055,790711,618344,22843,0,0,      0,0,0,1912,2069,14.226399624192625,13.226399624192625,,{},2230255
Arkansas (EV: 6),2020-11-11 03:23:42.270000,Trump,Biden,757052,418051,339001,40681,0,0,      0,0,0,2412,2579,4.788084531042383,0.0,0.3218666666666667,{},1209372
Arkansas (EV: 6),2020-11-10 21:53:23.143000,Trump,Biden,757052,418051,339001,40681,12,12,     12,0.9166666666666666,0.08333333333333333,2409,2579,4.788084531042383,0.0013909720866625008,0.3218666666666667,{'Franklin': 12},1209372
Arkansas (EV: 6),2020-11-10 18:37:24.918000,Trump,Biden,757041,418050,338991,40693,34,32,     32,0.59375,0.40625,2409,2579,4.7866935589557205,0.0036544569610938993,0.32193333333333335,"{'Ashley': 15, 'Stone': 19}",1209360
Arkansas (EV: 6),2020-11-10 04:16:39.778000,Trump,Biden,757022,418037,338985,40727,46,46,     46,0.5869565217391304,0.41304347826086957,2409,2579,4.783039101994627,0.004933079461697076,0.32176666666666665,{'Lafayette': 46},1209326
Arkansas (EV: 6),2020-11-09 20:19:13.927000,Trump,Biden,756995,418018,338977,40773,1,1,      1,0.0,1.0,2409,2579,4.7781060225329295,9.230207356569764e-05,0.3215,{'Searcy': 1},1209280
Arkansas (EV: 6),2020-11-09 17:17:21.054000,Trump,Biden,756995,418017,338978,40774,-3874,-3752,Unknown,0.48614072494669514,0.5138592750533049,2409,2579,4.778013720459364,-0.44768316261407204,0.2922448378666863,{'Grant': 3},1209279
Arkansas (EV: 6),2020-11-09 16:41:11.554000,Trump,Biden,758819,419945,338874,36900,-4997,-4763,Unknown,0.7566659668276297,0.24333403317237035,2409,2579,5.225696883073436,-0.7796275755289654,0.33293829803501795,{},1213153
Arkansas (EV: 6),2020-11-09 15:22:03.790000,Trump,Biden,762423,421104,341319,31903,1332,1291,"  1,291",0.9078233927188226,0.09217660728117738,2409,2579,6.005324458602401,0.23694738262183446,0.3214666666666667,{'Scott': 1332},1218150
Arkansas (EV: 6),2020-11-07 15:17:32.186000,Trump,Biden,761251,420985,340266,33235,8874,8518,"  8,518",0.6375909837990139,0.36240901620098614,2401,2579,5.768377075980567,1.1388956441819769,0.3290246371920351,"{'Clark': 3877, 'Hempstead': 4997}",1216818
Arkansas (EV: 6),2020-11-06 20:08:18.087000,Trump,Biden,755820,417898,337922,42109,6,6,      6,0.8333333333333334,0.16666666666666666,2401,2579,4.62948143179859,0.0006371889752063709,0.31555513452065176,{'Pike': 6},1207944
