state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Alaska (EV: 3),2020-11-11 13:19:23.895000,Trump,Biden,148624,102080,46544,105023,20749,19943," 19,943",0.469337612194755,0.530662387805245,441,441,0.7306748485990464,0.03299383489059371,0.5444,"{'ED 1': 348, 'ED 11': 1428, 'ED 13': 147, 'ED 14': 156, 'ED 15': 238, 'ED 16': 380, 'ED 17': 449, 'ED 18': 190, 'ED 19': 1546, 'ED 2': 645, 'ED 20': 432, 'ED 21': 10, 'ED 22': 386, 'ED 23': 439, 'ED 24': 480, 'ED 25': 1191, 'ED 28': 453, 'ED 29': 1073, 'ED 30': 29, 'ED 33': 557, 'ED 34': 276, 'ED 4': 1709, 'ED 5': 833, 'ED 6': 2743, 'ED 8': 1735, 'ED 9': 2876}",260983
Alaska (EV: 3),2020-11-11 02:59:01.103000,Trump,Biden,139264,91497,47767,125772,0,0,      0,0,0,441,441,0.6976810137084527,0.0,0.5716333333333333,{},240234
Alaska (EV: 3),2020-11-11 02:51:01.819000,Trump,Biden,139264,91497,47767,125772,49264,47671," 47,671",0.42835266724004106,0.5716473327599589,441,441,0.6976810137084527,0.03532427675745986,0.5716473327599589,{},240234
Alaska (EV: 3),2020-11-09 19:14:19.894000,Trump,Biden,118844,64246,54598,175036,18939,18010," 18,010",0.5892837312604109,0.4107162687395891,441,441,0.6623567369509928,0.024481521399203343,0.36223333333333335,{},190970
Alaska (EV: 3),2020-11-04 18:40:57.265000,Trump,Biden,108231,56849,51382,193975,39556,38323," 38,323",0.7105915507658587,0.2894084492341414,360,441,0.6378752155517895,0.05932911221375348,0.2894084492341414,{},172031
Alaska (EV: 3),2020-11-04 13:28:22.084000,Trump,Biden,80999,45758,35241,233531,0,0,      0,0,0,201,441,0.578546103338036,-0.421453896661964,,{},132475
Arizona (EV: 11),2020-11-11 03:23:42.270000,Biden,Trump,1655192,1642379,12813,40565,0,0,      0,0,0,1482,1489,0.6603832313219424,0.0,0.5769,{},3348758
Arizona (EV: 11),2020-11-11 02:17:41.626000,Biden,Trump,1655192,1642379,12813,40565,5291,5195,"  5,195",0.4259865255052936,0.5740134744947064,1481,1489,0.6603832313219424,0.00999038779483108,0.5769,{},3348758
Arizona (EV: 11),2020-11-11 01:51:41.532000,Biden,Trump,1652979,1639397,13582,45856,342,330,    330,0.6090909090909091,0.39090909090909093,1481,1489,0.6503928435271114,0.0019046964683386847,0.5808666666666666,{'Coconino': 342},3343467
Arizona (EV: 11),2020-11-11 01:16:21.870000,Biden,Trump,1652778,1639268,13510,46198,384,378,    378,0.16402116402116407,0.8359788359788359,1481,1489,0.6484881470587727,-0.0015446293959102686,0.5831333333333333,{'Mohave': 384},3343125
Arizona (EV: 11),2020-11-11 00:49:41.336000,Biden,Trump,1652716,1638952,13764,46582,1228,1188,"  1,188",0.30808080808080807,0.6919191919191919,1481,1489,0.6500327764546829,-0.0009893100170377256,0.5801,"{'Gila': 2, 'Yavapai': 1226}",3342741
Arizona (EV: 11),2020-11-11 00:24:41.854000,Biden,Trump,1652350,1638130,14220,47810,64,63,     63,0.5555555555555556,0.4444444444444444,1481,1489,0.6510220864717207,0.0002761361650629457,0.5763666666666667,{'Navajo': 64},3341513
Arizona (EV: 11),2020-11-10 23:21:41.803000,Biden,Trump,1652315,1638102,14213,47874,914,897,    897,0.35785953177257523,0.6421404682274248,1481,1489,0.6507459503066577,0.00017017836907762263,0.5766666666666667,{'Pinal': 914},3341449
Arizona (EV: 11),2020-11-10 21:44:40.730000,Biden,Trump,1651994,1637526,14468,48788,5480,6967,"  6,967",0.48098177120711927,0.5190182287928807,1481,1489,0.6505757719375801,0.012725703558627344,0.5753333333333334,{'Pima': 7142},3340535
Arizona (EV: 11),2020-11-10 20:17:01.511000,Biden,Trump,1648643,1633910,14733,54268,15,15,     15,0.06666666666666665,0.9333333333333333,1479,1489,0.6378500683789528,-8.350949872903968e-05,0.5872333333333334,{'Navajo': 15},3335055
Arizona (EV: 11),2020-11-10 02:18:36.294000,Biden,Trump,1648642,1633896,14746,54283,6397,6252,"  6,252",0.4888035828534869,0.5111964171465131,1479,1489,0.6379335778776818,0.01336971840874901,0.5869666666666666,{'Maricopa': 6397},3335040
Arizona (EV: 11),2020-11-10 00:51:18.070000,Biden,Trump,1645586,1630700,14886,60680,600,588,    588,0.3860544217687075,0.6139455782312925,1479,1489,0.6245638594689328,0.0001093064450701231,0.5711333333333334,"{'Coconino': 419, 'Yavapai': 181}",3328643
Arizona (EV: 11),2020-11-10 00:02:51.838000,Biden,Trump,1645359,1630339,15020,61280,591,576,    576,0.14236111111111116,0.8576388888888888,1479,1489,0.6244545530238627,-0.0021923845183350332,0.5663,{'Mohave': 591},3328043
Arizona (EV: 11),2020-11-09 22:23:05.122000,Biden,Trump,1645277,1629845,15432,61871,3437,3332,"  3,332",0.30522208883553426,0.6947779111644657,1479,1489,0.6266469375421977,-0.0034266654552261855,0.5569,{'Cochise': 3437},3327452
Arizona (EV: 11),2020-11-09 21:15:22.385000,Biden,Trump,1644260,1627530,16730,65308,787,773,    773,0.24062095730918498,0.759379042690815,1476,1489,0.6300736029974239,-0.0015318006400568684,0.5328666666666667,{'La Paz': 787},3324015
Arizona (EV: 11),2020-11-09 18:40:02.044000,Biden,Trump,1644074,1626943,17131,66095,424,411,    411,0.5888077858880778,0.41119221411192214,1475,1489,0.6316054036374807,0.0013961013758353458,0.5295,{'Pinal': 424},3323228
Arizona (EV: 11),2020-11-09 18:30:48.110000,Biden,Trump,1643832,1626774,17058,66519,145,142,    142,0.7887323943661972,0.2112676056338028,1475,1489,0.6302093022616454,0.0009077879661376631,0.5331666666666667,{'Apache': 145},3322804
Arizona (EV: 11),2020-11-09 18:16:49.347000,Biden,Trump,1643720,1626744,16976,66664,124,121,    121,0.4628099173553719,0.5371900826446281,1475,1489,0.6293015142955077,0.00017164065255559358,0.5353666666666667,"{'Navajo': 91, 'Santa Cruz': 33}",3322659
Arizona (EV: 11),2020-11-09 00:49:30.725000,Biden,Trump,1643664,1626679,16985,66788,327,319,    319,0.5517241379310345,0.4482758620689655,1475,1489,0.6291298736429521,0.0008788138598477824,0.5359333333333334,{'Apache': 327},3322535
Arizona (EV: 11),2020-11-08 23:35:28.185000,Biden,Trump,1643488,1626536,16952,67115,16739,16258," 16,258",0.40312461557387136,0.5968753844261286,1475,1489,0.6282510597831044,0.006527372997055858,0.5384,"{'Apache': 3253, 'Pinal': 13486}",3322208
Arizona (EV: 11),2020-11-08 23:08:18.531000,Biden,Trump,1636934,1616832,20102,83854,6862,6752,"  6,752",0.5558353080568721,0.44416469194312796,1471,1489,0.6217236867860485,0.013427840437712835,0.5334333333333333,{'Maricopa': 6862},3305469
Arizona (EV: 11),2020-11-08 19:32:33.789000,Biden,Trump,1633181,1613833,19348,90716,3038,2995,"  2,995",0.6327212020033389,0.3672787979966611,1471,1489,0.6082958463483357,0.00781484555007017,0.5641,{'Apache': 3038},3298607
Arizona (EV: 11),2020-11-08 17:39:24.168000,Biden,Trump,1631286,1612733,18553,93754,244,239,    239,0.38075313807531386,0.6192468619246861,1467,1489,0.6004810007982655,-4.707579927598626e-05,0.5853666666666667,{'Navajo': 244},3295569
Arizona (EV: 11),2020-11-08 02:21:07.053000,Biden,Trump,1631195,1612585,18610,93998,2279,2239,"  2,239",0.47699866011612324,0.5230013398838768,1467,1489,0.6005280765975415,0.0018364102612570266,0.5850666666666666,{'Apache': 2279},3295325
Arizona (EV: 11),2020-11-08 01:03:56.554000,Biden,Trump,1630127,1611414,18713,96277,7119,6925,"  6,925",0.3212996389891697,0.6787003610108303,1464,1489,0.5986916663362845,-0.005359233350754611,0.5893666666666667,{'Pinal': 7119},3293046
Arizona (EV: 11),2020-11-07 21:31:25.705000,Biden,Trump,1627902,1606714,21188,103396,1022,1010,"  1,010",0.8336633663366336,0.16633663366336635,1464,1489,0.6040508996870391,0.004295917834022167,0.5666666666666667,{'Apache': 1022},3285927
Arizona (EV: 11),2020-11-07 20:09:53.566000,Biden,Trump,1627060,1606546,20514,104418,303,293,    293,0.39931740614334466,0.6006825938566553,1463,1489,0.5997549818530169,2.5576693177820076e-06,0.5806,{'Coconino': 303},3284905
Arizona (EV: 11),2020-11-07 16:03:57.371000,Biden,Trump,1626943,1606370,20573,104721,40407,46505," 46,505",0.419589291474035,0.580410708525965,1463,1489,0.5997524241836991,0.0016065080496133755,0.580410708525965,{'Maricopa': 47870},3284602
Arizona (EV: 11),2020-11-07 16:01:43.045000,Biden,Trump,1607430,1579378,28052,145128,1750,1719,"  1,719",0.5258871436881908,0.4741128563118092,1463,1489,0.5981459161340857,0.001477049732521829,0.5658,{'Yuma': 1750},3244195
Arizona (EV: 11),2020-11-07 15:45:35.768000,Biden,Trump,1606526,1578563,27963,146878,6995,6816,"  6,816",0.360768779342723,0.639231220657277,1463,1489,0.5966688664015639,-0.00186863363111478,0.5701333333333334,{'Pinal': 6995},3242445
Arizona (EV: 11),2020-11-07 02:12:08.623000,Biden,Trump,1604067,1574206,29861,153873,7463,0,      0,0,0,1462,1489,0.5985375000326787,0.004558098395546439,0.5498,{'Maricopa': 7463},3235450
Arizona (EV: 11),2020-11-07 02:02:37.666000,Biden,Trump,1604067,1574206,29861,161336,71932,69821," 69,821",0.450194067687372,0.549805932312628,1462,1489,0.5939794016371323,0.013840931228798148,0.549805932312628,{'Maricopa': 71932},3227987
Arizona (EV: 11),2020-11-07 01:28:19.231000,Biden,Trump,1572634,1535818,36816,233268,612,595,    595,0.4840336134453781,0.5159663865546219,1462,1489,0.5801384704083341,0.0001684508244891303,0.6159,{'Coconino': 612},3156055
Arizona (EV: 11),2020-11-07 00:43:16.391000,Biden,Trump,1572346,1535511,36835,233880,2976,2866,"  2,866",0.2173761339846476,0.7826238660153524,1461,1489,0.579970019583845,-0.0024680926734994557,0.6140666666666666,{'Yavapai': 2976},3155443
Arizona (EV: 11),2020-11-06 23:43:16.543000,Biden,Trump,1571723,1533268,38455,236856,2172,2099,"  2,099",0.35350166746069556,0.6464983325393044,1460,1489,0.5824381122573444,-0.0005573306527978383,0.5873,{'Cochise': 2172},3152467
Arizona (EV: 11),2020-11-06 23:16:34.639000,Biden,Trump,1570981,1531911,39070,239028,204,202,    202,0.3366336633663366,0.6633663366336634,1458,1489,0.5829954429101423,-6.931002830390387e-05,0.5790666666666666,{'Gila': 204},3150295
Arizona (EV: 11),2020-11-06 23:13:45.463000,Biden,Trump,1570913,1531777,39136,239232,8881,6992,"  6,992",0.47940503432494275,0.5205949656750573,1458,1489,0.5830647529384462,0.0023838445023605104,0.5781666666666667,{'Pima': 7649},3150091
Arizona (EV: 11),2020-11-06 23:07:08.306000,Biden,Trump,1567561,1528137,39424,248113,4846,4698,"  4,698",0.5025542784163474,0.49744572158365263,1453,1489,0.5806809084360857,0.0015937996036272661,0.5801333333333333,{'Yuma': 4846},3141210
Arizona (EV: 11),2020-11-06 22:24:11.877000,Biden,Trump,1565200,1525800,39400,252959,1031,1003,"  1,003",0.3160518444666002,0.6839481555333998,1451,1489,0.5790871088324584,-0.00041665072425567384,0.5850666666666666,{'Navajo': 1031},3136364
Arizona (EV: 11),2020-11-06 20:30:39.158000,Biden,Trump,1564883,1525114,39769,253990,6666,6551,"  6,551",0.40955579300870093,0.5904442069912991,1451,1489,0.5795037595567141,-0.0002751714967083041,0.5799,{'Pinal': 6666},3135333
Arizona (EV: 11),2020-11-06 19:53:53.320000,Biden,Trump,1562200,1521246,40954,260656,1086,1066,"  1,066",0.3367729831144465,0.6632270168855535,1446,1489,0.5797789310534224,-0.0003440831805360256,0.5664666666666667,{'Navajo': 1086},3128667
Arizona (EV: 11),2020-11-06 19:25:09.947000,Biden,Trump,1561841,1520539,41302,261742,3957,3865,"  3,865",0.17956015523932733,0.8204398447606727,1446,1489,0.5801230142339584,-0.0035403897624627367,0.5617,{'Mohave': 3957},3127581
Arizona (EV: 11),2020-11-06 16:13:06.432000,Biden,Trump,1561147,1517368,43779,265699,1386,1390,"  1,390",0.5755395683453237,0.4244604316546763,1446,1489,0.5836634039964211,0.0008333951921672966,0.5241666666666667,{'Santa Cruz': 1409},3123624
Arizona (EV: 11),2020-11-06 16:03:11.367000,Biden,Trump,1560347,1516778,43569,267085,61789,60053," 60,053",0.47100061612242516,0.5289993838775748,1445,1489,0.5828300088042538,0.01018460182443981,0.5289993838775748,{'Maricopa': 61789},3122238
Arizona (EV: 11),2020-11-06 05:33:02.003000,Biden,Trump,1532062,1485010,47052,328874,5713,5521,"  5,521",0.5348668719434885,0.4651331280565115,1423,1489,0.572645406979814,0.0018246713645103663,0.5423,{'Coconino': 5713},3060449
Arizona (EV: 11),2020-11-06 03:37:12.105000,Biden,Trump,1529109,1482442,46667,334587,1180,1170,"  1,170",0.6752136752136753,0.3247863247863248,1417,1489,0.5708207356153037,0.0008689079294847968,0.5618666666666666,{'Apache': 1180},3054736
Arizona (EV: 11),2020-11-06 02:07:55.159000,Biden,Trump,1528319,1482062,46257,335767,75314,73976," 73,976",0.4285173569806424,0.5714826430193576,1415,1489,0.5699518276858189,-0.0002474737532293103,0.5714826430193576,{'Maricopa': 75314},3053556
Arizona (EV: 11),2020-11-06 01:33:55.993000,Biden,Trump,1496619,1439786,56833,411081,1957,1965,"  1,965",0.24274809160305344,0.7572519083969466,1386,1489,0.5701993014390482,-0.00091024714542709,0.5175,{'Gila': 2023},2978242
Arizona (EV: 11),2020-11-06 01:15:19.823000,Biden,Trump,1496142,1438298,57844,413038,2485,2461,"  2,461",0.7635107679804958,0.23648923201950425,1383,1489,0.5711095485844753,0.0020101743075497946,0.5024,"{'Apache': 2223, 'Pinal': 262}",2976285
Arizona (EV: 11),2020-11-06 01:04:29.192000,Biden,Trump,1494263,1437716,56547,415523,28344,27529," 27,529",0.4738639253151222,0.5261360746848778,1380,1489,0.5690993742769255,0.0027663334437190157,0.5306666666666666,{'Pima': 28344},2973800
Arizona (EV: 11),2020-11-06 00:55:18.438000,Biden,Trump,1481218,1423232,57986,443867,5990,5963,"  5,963",0.41891665269159817,0.5810833473084018,1366,1489,0.5663330408332065,-0.00020822234787576388,0.6641666666666667,{'Cochise': 6136},2945456
Arizona (EV: 11),2020-11-06 00:46:52.571000,Biden,Trump,1478720,1419767,58953,449857,5169,4975,"  4,975",0.2661306532663317,0.7338693467336683,1362,1489,0.5665412631810822,-0.0018407932724900933,0.6626,{'Yavapai': 5169},2939466
Arizona (EV: 11),2020-11-06 00:35:53.742000,Biden,Trump,1477396,1416116,61280,455026,7456,7331,"  7,331",0.23407447824307737,0.7659255217569226,1361,1489,0.5683820564535723,-0.0031782961700645984,0.6384666666666666,"{'Mohave': 5833, 'Navajo': 1623}",2934297
Arizona (EV: 11),2020-11-05 23:07:42.238000,Biden,Trump,1475680,1410501,65179,462482,12227,12039," 12,039",0.386743084973835,0.613256915026165,1359,1489,0.5715603526236369,-0.001073703437277529,0.5950666666666666,"{'Coconino': 4225, 'Pinal': 8002}",2926841
Arizona (EV: 11),2020-11-05 20:55:45.764000,Biden,Trump,1471024,1403118,67906,474709,1185,1151,"  1,151",0.40312771503040834,0.5968722849695917,1352,1489,0.5726340560609144,-5.7070309089746196e-05,0.5850666666666666,{'Navajo': 1185},2914614
Arizona (EV: 11),2020-11-05 19:53:24.061000,Biden,Trump,1470560,1402431,68129,475894,184,180,    180,0.19444444444444442,0.8055555555555556,1352,1489,0.5726911263700042,-8.922608862993453e-05,0.5847333333333333,{'Graham': 184},2913429
Arizona (EV: 11),2020-11-05 19:49:33.652000,Biden,Trump,1470525,1402286,68239,476078,632,622,    622,0.229903536977492,0.770096463022508,1351,1489,0.5727803524586341,-0.00026139711854922254,0.5834333333333334,{'Greenlee': 639},2913245
